Type*,Brand*,Model Number,Model Name,Serial Number*,Specifications,CPU,RAM,Storage,Status,Purchase Date,Buy Price,Warranty Expiry Date,Life Span,Out of Box OS,Assigned Employee ID
Laptop,HP,,EliteBook 840 G2,5CG52104WW,"Core i5 5th Gen, 8GB Ram,SSD256GB",Intel Core i7-11800H (Optional: Processor details),16GB DDR4 (Optional: Memory details),512GB NVMe SSD (Optional: Storage details),In Use,9/24/2022," EGP 4,633 ",2025-01-15 (Format: YYYY-MM-DD or MM/DD/YYYY),36 (Optional: Expected lifespan in months),Windows 11 Pro (Optional: Operating system),1001 (Optional: Employee ID from employees table)
Laptop,HP,,EliteBook 840 G2,5CG6061PJN,"Core i5 5th Gen, 12GB Ram,SSD256GB",,,,In Use,9/24/2022," EGP 4,633 ",,,,
Laptop,HP,,EliteBook 840 G2,5CG53048YJ,"Core i5 5th Gen, 8GB Ram,SSD256GB",,,,In Use,9/24/2022," EGP 4,633 ",,,,
Laptop,Lenovo,,ThinkPad X250,PC08R0HG,"Core i5-5300U, 8GB Ram,SSD256GB",,,,Damaged,10/13/2022," EGP 3,729 ",,,,
Laptop,Lenovo,,ThinkPad T450s,PC04TC6W,"Core I5-5300U 12GB Ram, SSD250G, 14""",,,,Under Maintenance,11/2/2022," EGP 5,085 ",,,,
Laptop,Lenovo,,ThinkPad T470,PF17ENR8,"Core I5-6300U 8GB Ram, NVME250G, 14""",,,,In Use,11/2/2022," EGP 5,310 ",,,,
Smartphone,Xiaomi,,Redmi 10C 4G,8.67243E+14,Xiaomi Redmi 10C - 4GB RAM - 128GB - Gray,,,,In Use,1/4/2023," EGP 5,300 ",,,,
Smartphone,Xiaomi,220333QAG,Redmi 10C 4G,8.68174E+14,Xiaomi Redmi 10C - 4GB RAM - 128GB - Gray,,,,In Use,1/4/2023," EGP 5,300 ",,,,
Router,Soyealink,B311-922,Vodafone 4F Router 3s,T2X7S2226006203,Vodafone Home 4G Router 3S,,,,Available,," EGP 1,600 ",,,,
Router,Soyealink,B311-922,Vodafone 4F Router 3s,T2X7S2226006209,Vodafone Home 4G Router 3S,,,,Available,," EGP 1,600 ",,,,
Router,Soyealink,B311-922,Vodafone 4F Router 3s,T2X7S2226006474,Vodafone Home 4G Router 3S,,,,In Use,," EGP 1,600 ",,,,
Smartphone,Xiaomi,,Redmi 10C 4G,8.63675E+14,Xiaomi Redmi 10C - 4GB RAM - 128GB - Gray,,,,Sold,1/30/2023," EGP 5,500 ",,,,
Smartphone,Xiaomi,,Redmi 10C 4G,8.68174E+14,Xiaomi Redmi 10C - 4GB RAM - 128GB - Gray,,,,In Use,1/30/2023," EGP 5,500 ",,,,
Smartphone,Xiaomi,220333QAG,Redmi 10C 4G,8.67243E+14,Xiaomi Redmi 10C - 4GB RAM - 128GB - Gray,,,,In Use,1/30/2023," EGP 5,500 ",,,,
Laptop,Dell,,Latitude 5590,CYW5KR2,"Laptop Dell 5590 I5-8350U , 8GB, 250GB SSD",,,,In Use,3/1/2023," EGP 9,120 ",,,,
Laptop,HP,15-dw3000,15,CND1362WST,"Core I5, RAM 8GB,  SSD Crucial 480G",,,,Sold,1/22/2023," EGP 17,000 ",,,,
