      table_name      |       column_name        |          data_type          | is_nullable |                                  column_default                                   
----------------------+--------------------------+-----------------------------+-------------+-----------------------------------------------------------------------------------
 assets               | id                       | integer                     | NO          | nextval('assets_id_seq'::regclass)
 assets               | asset_id                 | character varying           | NO          | concat('AST-', lpad((nextval('assets_id_seq'::regclass))::text, 5, '0'::text))
 assets               | type                     | USER-DEFINED                | NO          | 
 assets               | brand                    | character varying           | NO          | 
 assets               | model_number             | character varying           | YES         | 
 assets               | model_name               | character varying           | YES         | 
 assets               | serial_number            | character varying           | NO          | 
 assets               | specs                    | text                        | YES         | 
 assets               | status                   | USER-DEFINED                | NO          | 'Available'::asset_status
 assets               | purchase_date            | date                        | YES         | 
 assets               | buy_price                | numeric                     | YES         | 
 assets               | warranty_expiry_date     | date                        | YES         | 
 assets               | life_span                | integer                     | YES         | 
 assets               | out_of_box_os            | character varying           | YES         | 
 assets               | assigned_employee_id     | integer                     | YES         | 
 assets               | created_at               | timestamp without time zone | YES         | now()
 assets               | updated_at               | timestamp without time zone | YES         | now()
 assets               | cpu                      | character varying           | YES         | 
 assets               | ram                      | character varying           | YES         | 
 assets               | storage                  | character varying           | YES         | 
 custom_request_types | id                       | integer                     | NO          | nextval('custom_request_types_id_seq'::regclass)
 custom_request_types | name                     | character varying           | NO          | 
 custom_request_types | description              | text                        | YES         | 
 custom_request_types | color                    | character varying           | YES         | '#3B82F6'::character varying
 custom_request_types | is_active                | boolean                     | YES         | true
 custom_request_types | created_at               | timestamp without time zone | YES         | now()
 custom_request_types | updated_at               | timestamp without time zone | YES         | now()
 custom_request_types | priority                 | character varying           | YES         | 'Medium'::character varying
 custom_request_types | sla_hours                | integer                     | YES         | 24
 tickets              | id                       | integer                     | NO          | nextval('tickets_id_seq'::regclass)
 tickets              | ticket_id                | character varying           | NO          | ('TKT-'::text || lpad((nextval('tickets_id_seq'::regclass))::text, 6, '0'::text))
 tickets              | submitted_by_id          | integer                     | NO          | 
 tickets              | request_type             | character varying           | NO          | 
 tickets              | priority                 | USER-DEFINED                | NO          | 
 tickets              | description              | text                        | NO          | 
 tickets              | related_asset_id         | integer                     | YES         | 
 tickets              | status                   | USER-DEFINED                | NO          | 'Open'::ticket_status
 tickets              | assigned_to_id           | integer                     | YES         | 
 tickets              | resolution_notes         | text                        | YES         | 
 tickets              | created_at               | timestamp without time zone | YES         | now()
 tickets              | updated_at               | timestamp without time zone | YES         | now()
 tickets              | start_time               | timestamp without time zone | YES         | 
 tickets              | completion_time          | timestamp without time zone | YES         | 
 tickets              | time_spent               | integer                     | YES         | 
 tickets              | category                 | character varying           | YES         | 'Incident'::character varying
 tickets              | summary                  | character varying           | YES         | 
 tickets              | urgency                  | character varying           | YES         | 'Medium'::character varying
 tickets              | impact                   | character varying           | YES         | 'Medium'::character varying
 tickets              | root_cause               | text                        | YES         | 
 tickets              | workaround               | text                        | YES         | 
 tickets              | resolution               | text                        | YES         | 
 tickets              | tags                     | ARRAY                       | YES         | 
 tickets              | due_date                 | timestamp without time zone | YES         | 
 tickets              | is_time_tracking         | boolean                     | YES         | false
 tickets              | last_activity_at         | timestamp without time zone | YES         | now()
 tickets              | sla_target               | timestamp without time zone | YES         | 
 tickets              | sla_breached             | boolean                     | YES         | false
 tickets              | escalation_level         | integer                     | YES         | 0
 tickets              | merged_into_id           | integer                     | YES         | 
 tickets              | reopen_count             | integer                     | YES         | 0
 tickets              | customer_rating          | integer                     | YES         | 
 tickets              | customer_feedback        | text                        | YES         | 
 tickets              | private_notes            | text                        | YES         | 
 tickets              | attachments              | ARRAY                       | YES         | 
 tickets              | time_tracking_started_at | timestamp without time zone | YES         | 
(65 rows)

