       table_name        |       column_name        |          data_type          | is_nullable |                                  column_default                                   
-------------------------+--------------------------+-----------------------------+-------------+-----------------------------------------------------------------------------------
 activity_log            | id                       | integer                     | NO          | nextval('activity_log_id_seq'::regclass)
 activity_log            | user_id                  | integer                     | YES         | 
 activity_log            | action                   | character varying           | NO          | 
 activity_log            | entity_type              | character varying           | NO          | 
 activity_log            | entity_id                | integer                     | YES         | 
 activity_log            | details                  | json                        | YES         | 
 activity_log            | created_at               | timestamp without time zone | YES         | now()
 asset_maintenance       | id                       | integer                     | NO          | nextval('asset_maintenance_id_seq'::regclass)
 asset_maintenance       | asset_id                 | integer                     | NO          | 
 asset_maintenance       | date                     | date                        | NO          | 
 asset_maintenance       | description              | text                        | NO          | 
 asset_maintenance       | cost                     | numeric                     | YES         | '0'::numeric
 asset_maintenance       | provider_type            | character varying           | NO          | 
 asset_maintenance       | provider_name            | character varying           | YES         | 
 asset_maintenance       | created_at               | timestamp without time zone | YES         | now()
 asset_maintenance       | updated_at               | timestamp without time zone | YES         | now()
 asset_maintenance       | type                     | USER-DEFINED                | NO          | 'Preventive'::maintenance_type
 asset_sale_items        | id                       | integer                     | NO          | nextval('asset_sale_items_id_seq'::regclass)
 asset_sale_items        | sale_id                  | integer                     | NO          | 
 asset_sale_items        | asset_id                 | integer                     | NO          | 
 asset_sale_items        | amount                   | numeric                     | NO          | 
 asset_sale_items        | created_at               | timestamp without time zone | YES         | now()
 asset_sale_items        | updated_at               | timestamp without time zone | YES         | now()
 asset_sales             | id                       | integer                     | NO          | nextval('asset_sales_id_seq'::regclass)
 asset_sales             | buyer                    | character varying           | NO          | 
 asset_sales             | date                     | date                        | NO          | 
 asset_sales             | total_amount             | numeric                     | NO          | 
 asset_sales             | notes                    | text                        | YES         | 
 asset_sales             | created_at               | timestamp without time zone | YES         | now()
 asset_sales             | updated_at               | timestamp without time zone | YES         | now()
 asset_service_providers | id                       | integer                     | NO          | nextval('asset_service_providers_id_seq'::regclass)
 asset_service_providers | asset_id                 | integer                     | NO          | 
 asset_service_providers | service_provider_id      | integer                     | NO          | 
 asset_service_providers | start_date               | timestamp without time zone | YES         | 
 asset_service_providers | end_date                 | timestamp without time zone | YES         | 
 asset_service_providers | contract_number          | character varying           | YES         | 
 asset_service_providers | notes                    | text                        | YES         | 
 asset_service_providers | created_at               | timestamp without time zone | YES         | now()
 asset_service_providers | updated_at               | timestamp without time zone | YES         | now()
 asset_transactions      | id                       | integer                     | NO          | nextval('asset_transactions_id_seq'::regclass)
 asset_transactions      | asset_id                 | integer                     | NO          | 
 asset_transactions      | type                     | USER-DEFINED                | NO          | 
 asset_transactions      | employee_id              | integer                     | YES         | 
 asset_transactions      | transaction_date         | timestamp without time zone | NO          | now()
 asset_transactions      | expected_return_date     | timestamp without time zone | YES         | 
 asset_transactions      | actual_return_date       | timestamp without time zone | YES         | 
 asset_transactions      | condition_notes          | text                        | YES         | 
 asset_transactions      | handled_by_id            | integer                     | YES         | 
 asset_transactions      | attachments              | ARRAY                       | YES         | 
 asset_transactions      | created_at               | timestamp without time zone | YES         | now()
 asset_transactions      | updated_at               | timestamp without time zone | YES         | now()
 asset_transactions      | device_specs             | jsonb                       | YES         | 
 asset_upgrades          | id                       | integer                     | NO          | nextval('asset_upgrades_id_seq'::regclass)
 asset_upgrades          | upgrade_id               | character varying           | NO          | 
 asset_upgrades          | asset_id                 | integer                     | NO          | 
 asset_upgrades          | requested_by_id          | integer                     | NO          | 
 asset_upgrades          | approved_by_id           | integer                     | YES         | 
 asset_upgrades          | implemented_by_id        | integer                     | YES         | 
 asset_upgrades          | title                    | character varying           | NO          | 
 asset_upgrades          | description              | text                        | NO          | 
 asset_upgrades          | business_justification   | text                        | NO          | 
 asset_upgrades          | upgrade_type             | character varying           | NO          | 
 asset_upgrades          | priority                 | USER-DEFINED                | NO          | 'Medium'::upgrade_priority
 asset_upgrades          | risk                     | USER-DEFINED                | NO          | 'Medium'::upgrade_risk
 asset_upgrades          | status                   | USER-DEFINED                | NO          | 'Planned'::upgrade_status
 asset_upgrades          | current_configuration    | jsonb                       | YES         | 
 asset_upgrades          | new_configuration        | jsonb                       | YES         | 
 asset_upgrades          | planned_start_date       | timestamp without time zone | YES         | 
 asset_upgrades          | planned_end_date         | timestamp without time zone | YES         | 
 asset_upgrades          | actual_start_date        | timestamp without time zone | YES         | 
 asset_upgrades          | actual_end_date          | timestamp without time zone | YES         | 
 asset_upgrades          | implementation_notes     | text                        | YES         | 
 asset_upgrades          | testing_required         | boolean                     | YES         | true
 asset_upgrades          | testing_notes            | text                        | YES         | 
 asset_upgrades          | backout_plan             | text                        | NO          | 
 asset_upgrades          | estimated_cost           | numeric                     | YES         | 0
 asset_upgrades          | actual_cost              | numeric                     | YES         | 0
 asset_upgrades          | cost_justification       | text                        | YES         | 
 asset_upgrades          | impact_assessment        | text                        | NO          | 
 asset_upgrades          | dependent_assets         | ARRAY                       | YES         | 
 asset_upgrades          | affected_users           | ARRAY                       | YES         | 
 asset_upgrades          | downtime_required        | boolean                     | YES         | false
 asset_upgrades          | estimated_downtime       | integer                     | YES         | 
 asset_upgrades          | requires_approval        | boolean                     | YES         | true
 asset_upgrades          | approval_date            | timestamp without time zone | YES         | 
 asset_upgrades          | approval_notes           | text                        | YES         | 
 asset_upgrades          | success_criteria         | text                        | NO          | 
 asset_upgrades          | verification_steps       | ARRAY                       | YES         | 
 asset_upgrades          | post_upgrade_validation  | text                        | YES         | 
 asset_upgrades          | rollback_required        | boolean                     | YES         | false
 asset_upgrades          | rollback_date            | timestamp without time zone | YES         | 
 asset_upgrades          | rollback_reason          | text                        | YES         | 
 asset_upgrades          | rollback_notes           | text                        | YES         | 
 asset_upgrades          | created_at               | timestamp without time zone | YES         | now()
 asset_upgrades          | updated_at               | timestamp without time zone | YES         | now()
 assets                  | id                       | integer                     | NO          | nextval('assets_id_seq'::regclass)
 assets                  | asset_id                 | character varying           | NO          | concat('AST-', lpad((nextval('assets_id_seq'::regclass))::text, 5, '0'::text))
 assets                  | type                     | USER-DEFINED                | NO          | 
 assets                  | brand                    | character varying           | NO          | 
 assets                  | model_number             | character varying           | YES         | 
 assets                  | model_name               | character varying           | YES         | 
 assets                  | serial_number            | character varying           | NO          | 
 assets                  | specs                    | text                        | YES         | 
 assets                  | status                   | USER-DEFINED                | NO          | 'Available'::asset_status
 assets                  | purchase_date            | date                        | YES         | 
 assets                  | buy_price                | numeric                     | YES         | 
 assets                  | warranty_expiry_date     | date                        | YES         | 
 assets                  | life_span                | integer                     | YES         | 
 assets                  | out_of_box_os            | character varying           | YES         | 
 assets                  | assigned_employee_id     | integer                     | YES         | 
 assets                  | created_at               | timestamp without time zone | YES         | now()
 assets                  | updated_at               | timestamp without time zone | YES         | now()
 assets                  | cpu                      | character varying           | YES         | 
 assets                  | ram                      | character varying           | YES         | 
 assets                  | storage                  | character varying           | YES         | 
 changes_log             | id                       | integer                     | NO          | nextval('changes_log_id_seq'::regclass)
 changes_log             | version                  | character varying           | NO          | 
 changes_log             | category                 | character varying           | NO          | 
 changes_log             | description              | text                        | NO          | 
 changes_log             | technical_details        | text                        | YES         | 
 changes_log             | date                     | date                        | NO          | CURRENT_DATE
 changes_log             | author                   | character varying           | NO          | 'System Administrator'::character varying
 changes_log             | created_at               | timestamp without time zone | YES         | CURRENT_TIMESTAMP
 custom_asset_brands     | id                       | integer                     | NO          | nextval('custom_asset_brands_id_seq'::regclass)
 custom_asset_brands     | name                     | character varying           | NO          | 
 custom_asset_brands     | description              | character varying           | YES         | 
 custom_asset_brands     | created_at               | timestamp without time zone | YES         | now()
 custom_asset_brands     | updated_at               | timestamp without time zone | YES         | now()
 custom_asset_statuses   | id                       | integer                     | NO          | nextval('custom_asset_statuses_id_seq'::regclass)
 custom_asset_statuses   | name                     | character varying           | NO          | 
 custom_asset_statuses   | description              | character varying           | YES         | 
 custom_asset_statuses   | color                    | character varying           | YES         | 
 custom_asset_statuses   | created_at               | timestamp without time zone | YES         | now()
 custom_asset_statuses   | updated_at               | timestamp without time zone | YES         | now()
 custom_asset_types      | id                       | integer                     | NO          | nextval('custom_asset_types_id_seq'::regclass)
 custom_asset_types      | name                     | character varying           | NO          | 
 custom_asset_types      | description              | character varying           | YES         | 
 custom_asset_types      | created_at               | timestamp without time zone | YES         | now()
 custom_asset_types      | updated_at               | timestamp without time zone | YES         | now()
 custom_request_types    | id                       | integer                     | NO          | nextval('custom_request_types_id_seq'::regclass)
 custom_request_types    | name                     | character varying           | NO          | 
 custom_request_types    | description              | text                        | YES         | 
 custom_request_types    | color                    | character varying           | YES         | '#3B82F6'::character varying
 custom_request_types    | is_active                | boolean                     | YES         | true
 custom_request_types    | created_at               | timestamp without time zone | YES         | now()
 custom_request_types    | updated_at               | timestamp without time zone | YES         | now()
 custom_request_types    | priority                 | character varying           | YES         | 'Medium'::character varying
 custom_request_types    | sla_hours                | integer                     | YES         | 24
 employees               | id                       | integer                     | NO          | nextval('employees_id_seq'::regclass)
 employees               | emp_id                   | character varying           | NO          | concat('EMP-', lpad((nextval('employees_id_seq'::regclass))::text, 5, '0'::text))
 employees               | english_name             | character varying           | NO          | 
 employees               | arabic_name              | character varying           | YES         | 
 employees               | department               | character varying           | NO          | 
 employees               | id_number                | character varying           | NO          | 
 employees               | title                    | character varying           | NO          | 
 employees               | direct_manager           | integer                     | YES         | 
 employees               | employment_type          | USER-DEFINED                | NO          | 
 employees               | joining_date             | date                        | NO          | 
 employees               | exit_date                | date                        | YES         | 
 employees               | status                   | USER-DEFINED                | NO          | 'Active'::employee_status
 employees               | personal_mobile          | character varying           | YES         | 
 employees               | work_mobile              | character varying           | YES         | 
 employees               | personal_email           | character varying           | YES         | 
 employees               | corporate_email          | character varying           | YES         | 
 employees               | user_id                  | integer                     | YES         | 
 employees               | created_at               | timestamp without time zone | YES         | now()
 employees               | updated_at               | timestamp without time zone | YES         | now()
 employees               | name                     | character varying           | YES         | 
 employees               | email                    | character varying           | YES         | 
 employees               | phone                    | character varying           | YES         | 
 employees               | position                 | character varying           | YES         | 
 notifications           | id                       | integer                     | NO          | nextval('notifications_id_seq'::regclass)
 notifications           | user_id                  | integer                     | YES         | 
 notifications           | title                    | character varying           | NO          | 
 notifications           | message                  | text                        | NO          | 
 notifications           | type                     | USER-DEFINED                | NO          | 
 notifications           | entity_id                | integer                     | YES         | 
 notifications           | is_read                  | boolean                     | NO          | false
 notifications           | created_at               | timestamp without time zone | YES         | now()
 password_reset_tokens   | id                       | integer                     | NO          | nextval('password_reset_tokens_id_seq'::regclass)
 password_reset_tokens   | user_id                  | integer                     | NO          | 
 password_reset_tokens   | token                    | text                        | NO          | 
 password_reset_tokens   | expires_at               | timestamp without time zone | NO          | 
 password_reset_tokens   | created_at               | timestamp without time zone | YES         | now()
 password_reset_tokens   | used                     | boolean                     | YES         | false
 security_questions      | id                       | integer                     | NO          | nextval('security_questions_id_seq'::regclass)
 security_questions      | user_id                  | integer                     | NO          | 
 security_questions      | question                 | text                        | NO          | 
 security_questions      | answer                   | text                        | NO          | 
 security_questions      | created_at               | timestamp without time zone | YES         | now()
 security_questions      | updated_at               | timestamp without time zone | YES         | now()
 service_providers       | id                       | integer                     | NO          | nextval('service_providers_id_seq'::regclass)
 service_providers       | name                     | character varying           | NO          | 
